"n1" "eventr" "CoxTPR" "CoxTNR" "LogitTPR" "LogitTNR" "TCoxTPR" "TCoxTNR"
26828 0.226591620694796 0.71 1 0.68 1 0.71 1
25464 0.392946905435124 0.75 1 0.72 1 0.75 1
24675 0.447335359675785 0.84 1 0.75 1 0.83 1
26823 0.217089810983112 0.73 1 0.7 1 0.73 1
25543 0.38969580707043 0.86 1 0.79 1 0.86 1
24663 0.447958480314641 0.83 1 0.77 1 0.82 1
26028 0.333871215613954 0.79 1 0.78 1 0.79 1
27047 0.194291418641624 0.77 1 0.75 1 0.77 1
25376 0.388792559899117 0.75 1 0.72 1 0.75 1
26263 0.309903666755512 0.79 1 0.75 1 0.79 1
25983 0.348612554362468 0.81 1 0.73 1 0.81 1
26897 0.221623229356434 0.73 1 0.7 1 0.73 1
24454 0.466999263924102 0.78 1 0.7 1 0.78 1
26959 0.195444934901146 0.73 0.999966555183947 0.7 0.999966555183947 0.73 0.999966555183947
26750 0.242953271028037 0.74 1 0.7 1 0.74 1
25518 0.383415628184027 0.81 1 0.75 1 0.82 1
26822 0.211244500782939 0.73 1 0.66 1 0.73 1
26920 0.194539375928678 0.75 1 0.7 1 0.75 1
25149 0.414966797884608 0.74 1 0.71 1 0.74 1
26634 0.25137042877525 0.72 0.999966555183947 0.67 1 0.72 0.999966555183947
27144 0.164087827880931 0.7 1 0.7 1 0.7 1
25151 0.415092839250924 0.77 0.999966555183947 0.72 1 0.77 0.999966555183947
27111 0.171111357013758 0.7 1 0.66 1 0.69 1
25241 0.413414682461075 0.79 1 0.73 1 0.79 1
23991 0.488641573923555 0.83 1 0.76 1 0.84 1
26280 0.313736681887367 0.77 1 0.71 1 0.76 1
25895 0.341031087082448 0.75 1 0.71 1 0.75 1
27091 0.179727584806762 0.68 1 0.66 1 0.67 1
26838 0.202585885684477 0.68 1 0.65 1 0.68 1
26505 0.265459347292964 0.74 1 0.73 1 0.74 1
27063 0.191922551084507 0.63 1 0.61 1 0.63 1
25108 0.422136370877808 0.77 1 0.72 1 0.76 1
25631 0.379228278256798 0.81 1 0.73 1 0.82 1
26281 0.302461854571744 0.74 1 0.68 0.999966555183947 0.74 1
26797 0.239429786916446 0.74 0.999966555183947 0.7 1 0.74 0.999966555183947
24765 0.438441348677569 0.85 1 0.79 1 0.84 1
26366 0.30023515133126 0.75 1 0.69 1 0.75 1
26972 0.195461960551683 0.73 1 0.69 1 0.73 1
24893 0.439440806652473 0.77 1 0.73 1 0.76 1
24847 0.435143075622812 0.77 1 0.73 1 0.77 1
26172 0.303759743237047 0.75 1 0.71 1 0.75 1
26517 0.276275596786967 0.85 1 0.8 1 0.85 1
26254 0.307724537213377 0.79 1 0.71 1 0.79 1
26719 0.258767169429994 0.72 0.999966555183947 0.71 0.999966555183947 0.72 0.999966555183947
25015 0.423106136318209 0.8 1 0.75 1 0.8 1
26923 0.207814879471084 0.73 1 0.71 1 0.74 1
24606 0.455051613427619 0.8 1 0.76 0.999966555183947 0.8 1
25117 0.412071505354939 0.72 1 0.68 1 0.72 1
27219 0.140012491274477 0.68 1 0.65 1 0.68 1
26445 0.290338438268104 0.81 1 0.8 1 0.81 1
25080 0.421730462519936 0.82 1 0.76 1 0.82 1
26699 0.259710101501929 0.72 1 0.69 1 0.72 1
25766 0.355119149266475 0.78 1 0.73 1 0.78 1
26081 0.329166826425367 0.77 1 0.73 1 0.77 1
25915 0.340652131969902 0.8 1 0.73 1 0.8 1
27312 0.127709431751611 0.66 1 0.6 1 0.66 1
26080 0.334509202453988 0.74 1 0.69 1 0.74 1
26233 0.308657035032211 0.74 1 0.7 0.999966555183947 0.73 1
26311 0.310820569343621 0.79 1 0.74 1 0.78 1
26151 0.312875224656801 0.76 1 0.73 1 0.76 1
25377 0.387161603026362 0.77 1 0.72 1 0.77 1
25938 0.347328244274809 0.88 1 0.81 1 0.88 1
27063 0.195839337841333 0.74 1 0.7 1 0.74 1
25569 0.373499159138019 0.76 1 0.73 1 0.75 1
26902 0.21990930042376 0.77 1 0.75 1 0.77 1
25901 0.353499864870082 0.78 1 0.73 1 0.78 1
26120 0.329019908116386 0.75 1 0.72 1 0.76 1
25218 0.407288444761678 0.74 1 0.68 1 0.74 1
26997 0.19879986665185 0.71 1 0.67 1 0.71 1
26573 0.264516614608813 0.73 1 0.69 1 0.73 1
26778 0.23343789678094 0.74 1 0.74 1 0.75 1
25764 0.348160223567769 0.83 1 0.76 1 0.84 1
26501 0.277348024602845 0.74 1 0.67 1 0.73 1
25532 0.384380385398715 0.73 1 0.71 1 0.73 1
26242 0.304359423824404 0.77 1 0.73 1 0.77 1
25817 0.346903203315645 0.76 1 0.72 0.999966555183947 0.76 1
26812 0.242316873041922 0.66 1 0.65 1 0.66 1
26930 0.202413665057557 0.7 1 0.69 1 0.7 1
26901 0.191331177279655 0.68 1 0.66 1 0.68 1
25589 0.379928875688773 0.8 1 0.73 1 0.8 1
26167 0.309359116444377 0.72 1 0.64 1 0.72 1
25068 0.41941917983086 0.72 1 0.68 1 0.73 1
26981 0.211519217226937 0.73 1 0.68 1 0.72 1
25615 0.364864337302362 0.78 1 0.7 1 0.78 1
24618 0.462425867251605 0.79 1 0.69 1 0.78 1
26520 0.274547511312217 0.74 1 0.74 1 0.74 1
26450 0.284574669187146 0.71 1 0.64 1 0.71 1
26087 0.327787787020355 0.79 1 0.71 1 0.79 1
26354 0.309099187979054 0.75 1 0.7 1 0.75 1
26421 0.286325271564286 0.77 1 0.72 1 0.77 1
27344 0.105873317729666 0.6 1 0.58 1 0.6 1
26739 0.239163768278544 0.73 1 0.68 1 0.72 1
26998 0.188495444106971 0.79 1 0.76 1 0.79 1
26504 0.285466344702686 0.74 1 0.71 1 0.74 1
22531 0.558474990013759 0.81 1 0.73 1 0.8 1
26281 0.308968456299228 0.75 1 0.69 0.999966555183947 0.75 1
26284 0.3099604322021 0.73 1 0.66 1 0.73 1
26693 0.245869703667628 0.73 1 0.7 1 0.73 1
26582 0.268640433375969 0.76 1 0.71 1 0.77 1
25738 0.355932861916233 0.79 1 0.74 1 0.78 1
26662 0.254219488410472 0.77 1 0.73 1 0.77 1
26240 0.310137195121951 0.83 1 0.75 1 0.83 1
25818 0.346192578820978 0.76 1 0.75 1 0.76 1
26667 0.247009412382345 0.74 1 0.68 1 0.74 1
26807 0.220725929794457 0.72 1 0.71 1 0.72 1
25424 0.381647262429201 0.85 1 0.79 1 0.85 1
26509 0.257572899769889 0.74 1 0.69 1 0.74 1
26357 0.301589710513336 0.75 1 0.74 1 0.75 1
26748 0.241289068341558 0.74 1 0.68 1 0.75 1
26167 0.307295448465625 0.74 1 0.65 1 0.74 1
25841 0.35877094539685 0.72 1 0.7 1 0.72 1
27336 0.108428446005268 0.64 1 0.62 1 0.64 1
26799 0.232769879473115 0.69 1 0.67 1 0.69 1
26687 0.245213025068385 0.74 1 0.69 1 0.75 1
26337 0.302540152636975 0.75 1 0.71 1 0.75 1
24782 0.440037123718828 0.8 1 0.73 1 0.8 0.999966555183947
26822 0.218962046081575 0.71 1 0.67 1 0.71 1
24555 0.453879047037263 0.76 0.999966555183947 0.72 1 0.76 1
25351 0.393396710188947 0.83 1 0.76 1 0.82 1
25667 0.356605758366774 0.74 1 0.71 1 0.75 1
26038 0.33585528842461 0.74 1 0.7 1 0.74 1
26574 0.270753367953639 0.78 1 0.75 1 0.78 1
26897 0.20946573967357 0.73 1 0.7 1 0.72 1
25836 0.356866387985756 0.8 1 0.74 1 0.79 1
26508 0.279425079221367 0.75 1 0.75 1 0.75 1
26436 0.285708881827811 0.82 1 0.76 1 0.82 1
26196 0.314590013742556 0.76 1 0.72 1 0.76 1
24955 0.419995992787017 0.79 1 0.76 1 0.78 1
26975 0.201186283595922 0.75 0.999966555183947 0.73 1 0.75 0.999966555183947
26929 0.192394815997623 0.73 1 0.71 1 0.73 1
25060 0.41999201915403 0.78 1 0.73 1 0.78 1
25035 0.428879568603954 0.81 1 0.77 1 0.8 1
27028 0.175225691875092 0.71 1 0.65 1 0.72 1
27107 0.172944257940753 0.74 1 0.73 1 0.74 1
22967 0.546479731789089 0.82 1 0.76 0.999966555183947 0.82 1
25816 0.365625968391695 0.83 1 0.78 1 0.83 1
26173 0.320482940434799 0.78 1 0.73 1 0.78 1
25977 0.331947492012165 0.71 0.999966555183947 0.65 0.999966555183947 0.71 0.999966555183947
27043 0.168805236105462 0.65 1 0.63 1 0.65 1
26544 0.266425557564798 0.77 1 0.72 1 0.77 1
27106 0.178226222976463 0.7 1 0.69 1 0.7 1
26510 0.266616371180687 0.75 1 0.74 1 0.75 1
26804 0.225526040889419 0.67 0.999966555183947 0.65 1 0.67 0.999966555183947
27151 0.139221391477294 0.65 1 0.62 1 0.65 1
26702 0.25365141187926 0.73 1 0.69 1 0.73 1
26134 0.325897298538303 0.74 1 0.7 1 0.75 1
27126 0.165339526653395 0.69 1 0.68 1 0.69 1
26361 0.300481772315163 0.72 1 0.68 1 0.72 1
25345 0.386861313868613 0.82 0.999966555183947 0.74 1 0.8 0.999966555183947
26476 0.270811300800725 0.74 1 0.72 1 0.74 1
24443 0.465286585116393 0.79 1 0.71 1 0.77 1
26482 0.275658938146666 0.73 1 0.73 1 0.73 1
27150 0.149723756906077 0.68 1 0.68 1 0.68 1
24933 0.420767657321622 0.79 1 0.75 1 0.79 1
26737 0.237386393387441 0.68 1 0.66 1 0.68 1
26134 0.314877171500727 0.81 1 0.75 1 0.81 1
26717 0.241793614552532 0.77 1 0.73 1 0.77 1
26598 0.270433867208061 0.78 1 0.69 1 0.78 1
22968 0.550069662138628 0.77 1 0.71 1 0.77 1
27045 0.185246810870771 0.66 1 0.65 1 0.67 1
24717 0.441194319698993 0.78 1 0.71 1 0.77 1
26550 0.270809792843691 0.8 1 0.76 1 0.8 1
27159 0.162745314628668 0.7 1 0.63 1 0.7 1
24443 0.459599885447776 0.84 1 0.75 1 0.84 1
24214 0.481663500454283 0.82 1 0.75 1 0.81 1
26729 0.243480863481612 0.68 1 0.65 1 0.68 1
26975 0.195069508804449 0.71 1 0.68 1 0.71 1
26901 0.230474703542619 0.77 1 0.73 1 0.77 1
26926 0.20359503825299 0.7 1 0.66 1 0.7 1
25489 0.38914826003374 0.75 1 0.7 1 0.76 1
26557 0.262266069209625 0.77 1 0.72 1 0.77 1
26133 0.322848505720736 0.74 0.999966555183947 0.69 0.999966555183947 0.74 0.999966555183947
26065 0.330251294839824 0.79 1 0.77 1 0.79 1
26087 0.323609460650899 0.78 1 0.76 1 0.78 1
25059 0.421884352927092 0.77 1 0.71 1 0.76 1
27129 0.17022374580707 0.69 1 0.64 1 0.69 1
26048 0.326742936117936 0.75 1 0.71 1 0.74 1
26207 0.308696149883619 0.75 1 0.71 1 0.75 1
